N,Inversion,Gauss
2,1.4043333874306803e-15,5.661048867003676e-16
3,0.0,8.022593772267726e-15
4,0.0,4.137409622430382e-14
5,3.3544360584359632e-12,1.6828426299227195e-12
6,2.0163759404347654e-10,2.618913302311624e-10
7,4.713280397232037e-9,1.2606867224171548e-8
8,3.07748390309622e-7,6.124089555723088e-8
9,4.541268303176643e-6,3.8751634185032475e-6
10,0.0002501493411824886,8.67039023709691e-5
11,0.007618304284315809,0.00015827808158590435
12,0.258994120804705,0.13396208372085344
13,5.331275639426837,0.11039701117868264
14,8.71499275104814,1.4554087127659643
15,7.344641453111494,4.696668350857427
16,29.84884207073541,54.15518954564602
17,10.516942378369349,13.707236683836307
18,24.762070989128866,10.257619124632317
19,109.94550732878284,102.15983486270827
20,114.34403152557572,108.31777346206205
