P(z),p(z),z-k
20496.0,19987.872313406835,1.6431300764452317e-13
339570.0,352369.4138087958,5.503730804434781e-11
2.2777455e6,2.4162415582518433e6,3.3965799062229962e-9
1.0488020625e7,1.1263702300292023e7,8.972436216225788e-8
4.1239073125e7,4.475744423806908e7,1.4261120897529622e-6
1.406328934140625e8,2.1421031658039317e8,2.0476673030955794e-5
4.122812662421875e8,1.7846173427860644e9,0.00039792957757978087
1.0307901272578125e9,1.8686972170009857e10,0.007772029099445632
2.1574055781816406e9,1.3746309775142993e11,0.0841836320674414
9.384147605647182e9,1.490069535200058e12,0.6519586830380407
9.384147605647182e9,1.490069535200058e12,1.1109180272716561
3.0012060598372482e10,3.2962792355717145e13,1.665281290598479
3.0012060598372482e10,3.2962792355717145e13,2.0458202766784277
2.0030917431984006e11,9.546022365750216e14,2.518835871190904
2.0030917431984006e11,9.546022365750216e14,2.7128805312847097
1.1583329328642004e12,2.742106076928478e16,2.9060018735375106
1.1583329328642004e12,2.742106076928478e16,2.825483521349608
5.867381806750561e12,4.2524858765203725e17,2.4540214463129764
5.867381806750561e12,4.2524858765203725e17,2.0043294443099486
9.550552334336e12,1.37437435599976e18,0.8469102151947894
