x(n),x(n+1)
0.75,-0.4375
-0.4375,-0.80859375
-0.80859375,-0.3461761474609375
-0.3461761474609375,-0.8801620749291033
-0.8801620749291033,-0.2253147218564956
-0.2253147218564956,-0.9492332761147301
-0.9492332761147301,-0.0989561875164966
-0.0989561875164966,-0.9902076729521999
-0.9902076729521999,-0.01948876442658909
-0.01948876442658909,-0.999620188061125
-0.999620188061125,-0.0007594796206411569
-0.0007594796206411569,-0.9999994231907058
-0.9999994231907058,-1.1536182557003727e-6
-1.1536182557003727e-6,-0.9999999999986692
-0.9999999999986692,-2.6616486792363503e-12
-2.6616486792363503e-12,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
-1.0,0.0
0.0,-1.0
